iata_code,name,continent,iso_country,municipality
SVX,Koltsovo Airport,AS,RU,Yekaterinburg
TOX,Tobolsk Airport,AS,RU,Tobolsk
TJM,Roshchino International Airport,AS,RU,Tyumen
KRO,Kurgan Airport,AS,RU,Kurgan
BKN,Balkanabat Airport,AS,TM,Balkanabat
GMV,Monument Valley Airport,NA,US,Goulding's Lodge
ASB,Ashgabat International Airport,AS,TM,Ashgabat
KRW,Turkmenbashi Airport,AS,TM,Krasnovodsk
MYP,Mary Airport,AS,TM,Mary
TAZ,DaÅoguz Airport,AS,TM,DaÅoguz
CRZ,Turkmenabat Airport,AS,TM,TÃ¼rkmenabat
DYU,Dushanbe Airport,AS,TJ,Dushanbe
TJU,Kulob Airport,AS,TJ,Kulyab
LBD,Khudzhand Airport,AS,TJ,Khudzhand
KQT,Qurghonteppa International Airport,AS,TJ,Kurgan-Tyube
AZN,Andizhan Airport,AS,UZ,Andizhan
FEG,Fergana International Airport,AS,UZ,Fergana
NMA,Namangan Airport,AS,UZ,Namangan
NCU,Nukus Airport,AS,UZ,Nukus
UGC,Urgench Airport,AS,UZ,Urgench
NVI,Navoi Airport,AS,UZ,Navoi
BHK,Bukhara Airport,AS,UZ,Bukhara
KSQ,Karshi Khanabad Airport,AS,UZ,Khanabad
AFS,Sugraly Airport,AS,UZ,Zarafshan
SKD,Samarkand Airport,AS,UZ,Samarkand
TMJ,Termez Airport,AS,UZ,Termez
TAS,Tashkent International Airport,AS,UZ,Tashkent
UTU,Ustupo Airport,NA,PA,Ustupo
KMW,Kostroma Sokerkino Airport,EU,RU,Kostroma
BKA,Bykovo Airport,EU,RU,Moscow
KLF,Grabtsevo Airport,EU,RU,Kaluga
IWA,Ivanovo South Airport,EU,RU,Ivanovo
RYB,Staroselye Airport,EU,RU,Rybinsk
BZK,Bryansk Airport,EU,RU,Bryansk
ZIA,Zhukovsky International Airport,EU,RU,Moscow
DME,Domodedovo International Airport,EU,RU,Moscow
IAR,Tunoshna Airport,EU,RU,
SVO,Sheremetyevo International Airport,EU,RU,Moscow
KLD,Migalovo Air Base,EU,RU,Tver
OSF,Ostafyevo International Airport,EU,RU,Moscow
CKL,Chkalovskiy Air Base,EU,RU,Moscow
EGO,Belgorod International Airport,EU,RU,Belgorod
URS,Kursk East Airport,EU,RU,Kursk
LPK,Lipetsk Airport,EU,RU,Lipetsk
VOZ,Voronezh International Airport,EU,RU,Voronezh
OEL,Oryol Yuzhny Airport,EU,RU,Orel
TBW,Donskoye Airport,EU,RU,Tambov
UUU,Manumu Airport,OC,PG,Manumu
RZN,Turlatovo Airport,EU,RU,Ryazan
TYA,Klokovo Airfield,EU,RU,Tula
VKO,Vnukovo International Airport,EU,RU,Moscow
UCT,Ukhta Airport,EU,RU,Ukhta
INA,Inta Airport,AS,RU,Inta
PEX,Pechora Airport,EU,RU,Pechora
USK,Usinsk Airport,EU,RU,Usinsk
VKT,Vorkuta Airport,AS,RU,Vorkuta
UTS,Ust-Tsylma Airport,EU,RU,Ust-Tsylma
SCW,Syktyvkar Airport,EU,RU,Syktyvkar
GOJ,Nizhny Novgorod Strigino International Airport,EU,RU,Nizhny Novgorod
UUA,Bugulma Airport,EU,RU,Bugulma
KZN,Kazan International Airport,EU,RU,Kazan
NBC,Begishevo Airport,EU,RU,Nizhnekamsk
JOK,Yoshkar-Ola Airport,EU,RU,Yoshkar-Ola
CSY,Cheboksary Airport,EU,RU,Cheboksary
ZIX,Zhigansk Airport,AS,RU,Zhigansk
ULV,Ulyanovsk Baratayevka Airport,EU,RU,Ulyanovsk
ULY,Ulyanovsk East Airport,EU,RU,Ulyanovsk
REN,Orenburg Central Airport,EU,RU,Orenburg
OSW,Orsk Airport,EU,RU,Orsk
PEZ,Penza Airport,EU,RU,Penza
SKX,Saransk Airport,EU,RU,Saransk
BWO,Balakovo Airport,EU,RU,Balakovo
RTW,Saratov Central Airport,EU,RU,Saratov
BCX,Beloretsk Airport,EU,RU,Beloretsk
NEF,Neftekamsk Airport,EU,RU,Neftekamsk
OKT,Oktyabrskiy Airport,EU,RU,Kzyl-Yar
UFA,Ufa International Airport,EU,RU,Ufa
KUF,Kurumoch International Airport,EU,RU,Samara
UZM,Hope Bay Aerodrome,NA,CA,Hope Bay
UZR,Urzhar Airport,AS,KZ,Urzhar
REW,"Rewa Airport, Chorhata, REWA",AS,IN,Rewa
DIU,Diu Airport,AS,IN,Diu
AMD,Sardar Vallabhbhai Patel International Airport,AS,IN,Ahmedabad
AKD,Akola Airport,AS,IN,Akola
IXU,Aurangabad Airport,AS,IN,Aurangabad
BOM,Chhatrapati Shivaji International Airport,AS,IN,Mumbai
PAB,Bilaspur Airport,AS,IN,Bilaspur
BHJ,Bhuj Airport,AS,IN,Bhuj
IXG,Belgaum Airport,AS,IN,Belgaum
BDQ,Vadodara Airport,AS,IN,Vadodara
BHO,Raja Bhoj International Airport,AS,IN,Bhopal
BHU,Bhavnagar Airport,AS,IN,Bhavnagar
NMB,Daman Airport,AS,IN,
GUX,Guna Airport,AS,IN,
GOI,Dabolim Airport,AS,IN,Vasco da Gama
HBX,Hubli Airport,AS,IN,Hubli
IDR,Devi Ahilyabai Holkar Airport,AS,IN,Indore
JLR,Jabalpur Airport,AS,IN,
JGA,Jamnagar Airport,AS,IN,Jamnagar
IXY,Kandla Airport,AS,IN,Kandla
HJR,Khajuraho Airport,AS,IN,Khajuraho
KLH,Kolhapur Airport,AS,IN,
IXK,Keshod Airport,AS,IN,
NDC,Nanded Airport,AS,IN,Nanded
NAG,Dr. Babasaheb Ambedkar International Airport,AS,IN,Nagpur
ISK,Nashik Airport,AS,IN,Nasik
PNQ,Pune Airport,AS,IN,Pune
PBD,Porbandar Airport,AS,IN,Porbandar
RTC,Ratnagiri Airport,AS,IN,
RAJ,Rajkot Airport,AS,IN,Rajkot
RPR,Raipur Airport,AS,IN,Raipur
SAG,Shirdi Airport,AS,IN,Shirdi
SSE,Solapur Airport,AS,IN,Solapur
STV,Surat Airport,AS,IN,
UDR,Maharana Pratap Airport,AS,IN,Udaipur
CMB,Bandaranaike International Colombo Airport,AS,LK,Colombo
ACJ,Anuradhapura Air Force Base,AS,LK,Anuradhapura
BTC,Batticaloa Airport,AS,LK,Batticaloa
RML,Colombo Ratmalana Airport,AS,LK,Colombo
ADP,Ampara Airport,AS,LK,Ampara
HIM,Hingurakgoda Air Force Base,AS,LK,Polonnaruwa Town
JAF,Kankesanturai Airport,AS,LK,Jaffna
KCT,Koggala Airport,AS,LK,Galle
KTY,Katukurunda Air Force Base,AS,LK,Kalutara
GIU,Sigiriya Air Force Base,AS,LK,Sigiriya
TRR,China Bay Airport,AS,LK,Trincomalee
WRZ,Weerawila Airport,AS,LK,Weerawila
HRI,Mattala Rajapaksa International Airport,AS,LK,
BBM,Battambang Airport,AS,KH,Battambang
